OFFENSE_LATITUDE,OFFENSE_LONGITUDE,CATEGORY,Total_Occurrences,Weighted_Crime_Score
38.793,-77.038,Weapon Violations,1,1
38.8054,-77.038,Release Violations/Fugitive,1,1
38.813,-77.013,Release Violations,3,3
38.8135,-77.0173,Burglary,1,6
38.8135,-77.0173,Release Violations/Fugitive,1,1
38.8135,-77.0138,Release Violations/Fugitive,1,1
38.8135,-77.0138,Robbery,1,7
38.8135,-77.0138,Sex Abuse,1,9
38.8135,-77.0138,Sex Offenses,2,20
38.8135,-77.0138,Simple Assault,5,5
38.8135,-77.0138,Weapon Violations,1,1
38.8135,-77.0127,Theft,1,1
38.814,-77.018,Fraud and Financial Crimes (Forg),1,1
38.814,-77.014,Other Crimes,1,1
38.814,-77.014,Release Violations/Fugitive,1,1
38.814,-77.014,Simple Assault,20,20
38.814,-77.014,Weapon Violations,1,1
38.814,-77.013,Release Violations/Fugitive,1,1
38.815,-77.018,Homicide,1,8
38.815,-77.017,Damage to Property,1,1
38.8162,-77.0173,Traffic Violations,1,2
38.8162,-77.0173,Weapon Violations,1,1
38.8189,-77.0104, rcotics,3,3
38.8189,-77.0104,Assault on a Police Officer,1,1
38.8189,-77.0104,Disorderly Conduct,1,1
38.8189,-77.0104,Driving/Boating While Intoxicated,1,1
38.8189,-77.0104,Liquor Law Violations,1,1
38.8189,-77.0104,Sex Offenses,1,10
38.8189,-77.0104,Simple Assault,4,4
38.8189,-77.0104,Traffic Violations,3,6
38.8189,-77.0104,Weapon Violations,1,1
38.819,-77.013,Simple Assault,2,2
38.819,-77.011,Assault with a Dangerous Weapon,1,8
38.819,-77.011,Other Crimes,1,1
38.819,-77.011,Release Violations/Fugitive,1,1
38.819,-77.011,Simple Assault,6,6
38.819,-77.01,Driving/Boating While Intoxicated,2,2
38.819,-77.01,Release Violations/Fugitive,1,1
38.819,-77.01,Simple Assault,3,3
38.8198,-77.0104, rcotics,2,2
38.8198,-77.0104,Aggravated Assault,1,1
38.8198,-77.0104,Assault with a Dangerous Weapon,1,8
38.8198,-77.0104,Burglary,1,6
38.8198,-77.0104,Gambling,3,3
38.8198,-77.0104,Homicide,1,8
38.8198,-77.0104,Offenses Against Family & Children,1,1
38.8198,-77.0104,Other Crimes,1,1
38.8198,-77.0104,Release Violations/Fugitive,3,3
38.8198,-77.0104,Simple Assault,7,7
38.8198,-77.0104,Weapon Violations,1,1
38.8198,-77.0092, rcotics,1,1
38.8198,-77.0092,Assault with a Dangerous Weapon,4,32
38.8198,-77.0092,Release Violations/Fugitive,3,3
38.8198,-77.0092,Sex Offenses,1,10
38.8198,-77.0092,Simple Assault,15,15
38.8198,-77.0092,Traffic Violations,1,2
38.8198,-77.0092,Weapon Violations,1,1
38.8198,-77.0081,Assault with a Dangerous Weapon,5,40
38.8198,-77.0081,Burglary,1,6
38.8198,-77.0081,Damage to Property,1,1
38.8198,-77.0081,Driving/Boating While Intoxicated,1,1
38.8198,-77.0081,Liquor Law Violations,1,1
38.8198,-77.0081,Motor Vehicle Theft,1,1
38.8198,-77.0081,Simple Assault,8,8
38.8198,-77.0069,Driving/Boating While Intoxicated,1,1
38.8198,-77.0069,Liquor Law Violations,1,1
38.8198,-77.0058,Simple Assault,1,1
38.82,-77.018,Driving/Boating While Intoxicated,8,8
38.82,-77.018,Liquor Law Violations,1,1
38.82,-77.018,Simple Assault,1,1
38.82,-77.011,Aggravated Assault,1,1
38.82,-77.011,Damage to Property,1,1
38.82,-77.011,Driving/Boating While Intoxicated,1,1
38.82,-77.011,Liquor Law Violations,1,1
38.82,-77.011,Narcotics,2,10
38.82,-77.011,Offenses Against Family & Children,1,1
38.82,-77.011,Release Violations/Fugitive,1,1
38.82,-77.011,Simple Assault,22,22
38.82,-77.011,Traffic Violations,1,2
38.82,-77.011,Weapon Violations,3,3
38.82,-77.01,Aggravated Assault,1,1
38.82,-77.01,Assault with a Dangerous Weapon,2,16
38.82,-77.01,Damage to Property,1,1
38.82,-77.01,Offenses Against Family & Children,8,8
38.82,-77.01,Other Crimes,2,2
38.82,-77.01,Release Violations,1,1
38.82,-77.01,Release Violations/Fugitive (Warr),1,1
38.82,-77.01,Simple Assault,21,21
38.82,-77.01,Traffic Violations,1,2
38.82,-77.009,Assault with a Dangerous Weapon,3,24
38.82,-77.009,Disorderly Conduct,1,1
38.82,-77.009,Offenses Against Family & Children,3,3
38.82,-77.009,Other Crimes,3,3
38.82,-77.009,Property Crimes,1,1
38.82,-77.009,Release Violations,1,1
38.82,-77.009,Release Violations/Fugitive,1,1
38.82,-77.009,Simple Assault,19,19
38.82,-77.009,Weapon Violations,2,2
38.82,-77.008,Aggravated Assault,1,1
38.82,-77.008,Assault with a Dangerous Weapon,3,24
38.82,-77.008,Damage to Property,1,1
38.82,-77.008,Driving/Boating While Intoxicated,1,1
38.82,-77.008,Narcotics,5,25
38.82,-77.008,Offenses Against Family & Children,1,1
38.82,-77.008,Other Crimes,2,2
38.82,-77.008,Release Violations/Fugitive,1,1
38.82,-77.008,Robbery,1,7
38.82,-77.008,Simple Assault,29,29
38.82,-77.008,Theft,2,2
38.82,-77.008,Traffic Violations,4,8
38.82,-77.008,Weapon Violations,1,1
38.82,-77.007,Aggravated Assault,1,1
38.82,-77.007,Release Violations/Fugitive,1,1
38.82,-77.007,Simple Assault,5,5
38.82,-77.007,Traffic Violations,1,2
38.82,-77.007,Weapon Violations,2,2
38.82,-77.006,Assault on a Police Officer,1,1
38.82,-77.006,Narcotics,1,5
38.82,-77.006,Simple Assault,1,1
38.8207,-77.0184,Driving/Boating While Intoxicated,4,4
38.8207,-77.0184,Release Violations/Fugitive,1,1
38.8207,-77.0184,Simple Assault,1,1
38.8207,-77.0184,Weapon Violations,1,1
38.8207,-77.0161,Driving/Boating While Intoxicated,1,1
38.8207,-77.0104, rcotics,14,14
38.8207,-77.0104,Burglary,1,6
38.8207,-77.0104,Damage to Property,1,1
38.8207,-77.0104,Disorderly Conduct,1,1
38.8207,-77.0104,Driving/Boating While Intoxicated,3,3
38.8207,-77.0104,Homicide,1,8
38.8207,-77.0104,Kid pping,1,1
38.8207,-77.0104,Other Crimes,1,1
38.8207,-77.0104,Property Crimes,1,1
38.8207,-77.0104,Release Violations/Fugitive,2,2
38.8207,-77.0104,Robbery,2,14
38.8207,-77.0104,Sex Abuse,1,9
38.8207,-77.0104,Simple Assault,16,16
38.8207,-77.0104,Traffic Violations,2,4
38.8207,-77.0092, rcotics,6,6
38.8207,-77.0092,Aggravated Assault,1,1
38.8207,-77.0092,Assault with a Dangerous Weapon,5,40
38.8207,-77.0092,Damage to Property,1,1
38.8207,-77.0092,Driving/Boating While Intoxicated,1,1
38.8207,-77.0092,Gambling,3,3
38.8207,-77.0092,Offenses Against Family & Children,3,3
38.8207,-77.0092,Other Crimes,1,1
38.8207,-77.0092,Release Violations/Fugitive,6,6
38.8207,-77.0092,Simple Assault,14,14
38.8207,-77.0092,Theft,1,1
38.8207,-77.0092,Traffic Violations,1,2
38.8207,-77.0092,Weapon Violations,2,2
38.8207,-77.0081, rcotics,5,5
38.8207,-77.0081,Aggravated Assault,1,1
38.8207,-77.0081,Assault with a Dangerous Weapon,2,16
38.8207,-77.0081,Gambling,2,2
38.8207,-77.0081,Offenses Against Family & Children,1,1
38.8207,-77.0081,Release Violations/Fugitive,3,3
38.8207,-77.0081,Simple Assault,10,10
38.8207,-77.0081,Weapon Violations,1,1
38.8207,-77.0069, rcotics,2,2
38.8207,-77.0069,Assault with a Dangerous Weapon,2,16
38.8207,-77.0069,Driving/Boating While Intoxicated,1,1
38.8207,-77.0069,Release Violations/Fugitive,1,1
38.8207,-77.0069,Simple Assault,4,4
38.8207,-77.0069,Traffic Violations,3,6
38.8207,-77.0058,Assault with a Dangerous Weapon,2,16
38.8207,-77.0058,Damage to Property,1,1
38.8207,-77.0058,Disorderly Conduct,1,1
38.8207,-77.0058,Driving/Boating While Intoxicated,2,2
38.8207,-77.0058,Release Violations/Fugitive,4,4
38.8207,-77.0058,Sex Abuse,1,9
38.8207,-77.0058,Simple Assault,6,6
38.8207,-77.0058,Weapon Violations,2,2
38.821,-77.016,Driving/Boating While Intoxicated,1,1
38.821,-77.016,Release Violations,1,1
38.821,-77.011,Assault with a Dangerous Weapon,4,32
38.821,-77.011,Driving/Boating While Intoxicated,1,1
38.821,-77.011,Narcotics,7,35
38.821,-77.011,Other Crimes,2,2
38.821,-77.011,Release Violations/Fugitive,2,2
38.821,-77.011,Robbery,1,7
38.821,-77.011,Simple Assault,7,7
38.821,-77.011,Theft,2,2
38.821,-77.011,Traffic Violations,1,2
38.821,-77.011,Weapon Violations,8,8
38.821,-77.01,Damage to Property,3,3
38.821,-77.01,Homicide,2,16
38.821,-77.01,Liquor Law Violations,2,2
38.821,-77.01,Narcotics,1,5
38.821,-77.01,Offenses Against Family & Children,4,4
38.821,-77.01,Other Crimes,1,1
38.821,-77.01,Release Violations/Fugitive,1,1
38.821,-77.01,Simple Assault,24,24
38.821,-77.01,Traffic Violations,1,2
38.821,-77.01,Weapon Violations,5,5
38.821,-77.009,Aggravated Assault,2,2
38.821,-77.009,Assault on a Police Officer,1,1
38.821,-77.009,Damage to Property,2,2
38.821,-77.009,Driving/Boating While Intoxicated,1,1
38.821,-77.009,Kidnapping,2,18
38.821,-77.009,Narcotics,10,50
38.821,-77.009,Offenses Against Family & Children,1,1
38.821,-77.009,Release Violations/Fugitive,3,3
38.821,-77.009,Simple Assault,14,14
38.821,-77.009,Theft,1,1
38.821,-77.009,Traffic Violations,2,4
38.821,-77.009,Weapon Violations,13,13
38.821,-77.008,Damage to Property,2,2
38.821,-77.008,Offenses Against Family & Children,1,1
38.821,-77.008,Release Violations,2,2
38.821,-77.008,Release Violations/Fugitive (Warr),1,1
38.821,-77.008,Simple Assault,18,18
38.821,-77.008,Weapon Violations,2,2
38.821,-77.007,Assault on a Police Officer,1,1
38.821,-77.007,Damage to Property,1,1
38.821,-77.007,Narcotics,1,5
38.821,-77.007,Release Violations,2,2
38.821,-77.007,Release Violations/Fugitive,2,2
38.821,-77.007,Robbery,1,7
38.821,-77.007,Simple Assault,13,13
38.821,-77.007,Traffic Violations,1,2
38.821,-77.007,Weapon Violations,3,3
38.821,-77.006,Assault with a Dangerous Weapon,1,8
38.821,-77.006,Burglary,1,6
38.821,-77.006,Damage to Property,3,3
38.821,-77.006,Driving/Boating While Intoxicated,1,1
38.821,-77.006,Liquor Law Violations,1,1
38.821,-77.006,Simple Assault,8,8
38.821,-77.006,Weapon Violations,2,2
38.821,-77.005,Weapon Violations,1,1
38.821,-77.002,Aggravated Assault,1,1
38.821,-77.002,Assault on a Police Officer,9,9
38.821,-77.002,Assault with a Dangerous Weapon,5,40
38.821,-77.002,Damage to Property,6,6
38.821,-77.002,Disorderly Conduct,3,3
38.821,-77.002,Driving/Boating While Intoxicated,8,8
38.821,-77.002,Homicide,1,8
38.821,-77.002,Liquor Law Violations,5,5
38.821,-77.002,Narcotics,91,455
38.821,-77.002,Other Crimes,27,27
38.821,-77.002,Property Crimes,6,6
38.821,-77.002,Release Violations,4,4
38.821,-77.002,Release Violations/Fugitive,17,17
38.821,-77.002,Release Violations/Fugitive (Warr),6,6
38.821,-77.002,Robbery,3,21
38.821,-77.002,Simple Assault,14,14
38.821,-77.002,Theft,5,5
38.821,-77.002,Traffic Violations,16,32
38.821,-77.002,Weapon Violations,26,26
38.821,-77.001,Sex Abuse,1,9
38.8216,-77.0104,Assault with a Dangerous Weapon,1,8
38.8216,-77.0104,Other Crimes,1,1
38.8216,-77.0104,Release Violations/Fugitive,1,1
38.8216,-77.0104,Simple Assault,4,4
38.8216,-77.0104,Traffic Violations,1,2
38.8216,-77.0104,Weapon Violations,2,2
38.8216,-77.0092, rcotics,4,4
38.8216,-77.0092,Assault on a Police Officer,2,2
38.8216,-77.0092,Assault with a Dangerous Weapon,6,48
38.8216,-77.0092,Burglary,2,12
38.8216,-77.0092,Homicide,2,16
38.8216,-77.0092,Other Crimes,1,1
38.8216,-77.0092,Release Violations/Fugitive,1,1
38.8216,-77.0092,Simple Assault,15,15
38.8216,-77.0081, rcotics,5,5
38.8216,-77.0081,Assault on a Police Officer,1,1
38.8216,-77.0081,Assault with a Dangerous Weapon,5,40
38.8216,-77.0081,Damage to Property,1,1
38.8216,-77.0081,Offenses Against Family & Children,1,1
38.8216,-77.0081,Release Violations/Fugitive,1,1
38.8216,-77.0081,Simple Assault,12,12
38.8216,-77.0081,Theft,1,1
38.8216,-77.0069,Aggravated Assault,1,1
38.8216,-77.0069,Assault with a Dangerous Weapon,1,8
38.8216,-77.0069,Damage to Property,2,2
38.8216,-77.0069,Liquor Law Violations,1,1
38.8216,-77.0069,Offenses Against Family & Children,2,2
38.8216,-77.0069,Other Crimes,1,1
38.8216,-77.0069,Release Violations/Fugitive,3,3
38.8216,-77.0069,Simple Assault,14,14
38.8216,-77.0069,Weapon Violations,1,1
38.8216,-77.0058, rcotics,2,2
38.8216,-77.0058,Damage to Property,1,1
38.8216,-77.0058,Disorderly Conduct,1,1
38.8216,-77.0058,Driving/Boating While Intoxicated,1,1
38.8216,-77.0058,Release Violations/Fugitive,2,2
38.8216,-77.0058,Sex Offenses,1,10
38.8216,-77.0058,Simple Assault,4,4
38.8216,-77.0058,Weapon Violations,1,1
38.8216,-77.0023, rcotics,15,15
38.8216,-77.0023,Aggravated Assault,1,1
38.8216,-77.0023,Assault on a Police Officer,2,2
38.8216,-77.0023,Assault with a Dangerous Weapon,2,16
38.8216,-77.0023,Driving/Boating While Intoxicated,5,5
38.8216,-77.0023,Fraud and Fi ncial Crimes,1,1
38.8216,-77.0023,Liquor Law Violations,9,9
38.8216,-77.0023,Other Crimes,12,12
38.8216,-77.0023,Property Crimes,5,5
38.8216,-77.0023,Release Violations/Fugitive,20,20
38.8216,-77.0023,Robbery,2,14
38.8216,-77.0023,Sex Offenses,1,10
38.8216,-77.0023,Simple Assault,12,12
38.8216,-77.0023,Theft,20,20
38.8216,-77.0023,Traffic Violations,10,20
38.8216,-77.0012, rcotics,23,23
38.8216,-77.0012,Assault on a Police Officer,2,2
38.8216,-77.0012,Assault with a Dangerous Weapon,1,8
38.8216,-77.0012,Damage to Property,4,4
38.8216,-77.0012,Disorderly Conduct,1,1
38.8216,-77.0012,Driving/Boating While Intoxicated,2,2
38.8216,-77.0012,Fraud and Fi ncial Crimes,1,1
38.8216,-77.0012,Gambling,2,2
38.8216,-77.0012,Liquor Law Violations,5,5
38.8216,-77.0012,Motor Vehicle Theft,1,1
38.8216,-77.0012,Offenses Against Family & Children,1,1
38.8216,-77.0012,Other Crimes,11,11
38.8216,-77.0012,Property Crimes,2,2
38.8216,-77.0012,Release Violations/Fugitive,10,10
38.8216,-77.0012,Robbery,8,56
38.8216,-77.0012,Sex Offenses,1,10
38.8216,-77.0012,Simple Assault,10,10
38.8216,-77.0012,Traffic Violations,10,20
38.8216,-77.0012,Weapon Violations,5,5
38.822,-77.018,Assault on a Police Officer,1,1
38.822,-77.018,Driving/Boating While Intoxicated,7,7
38.822,-77.018,Release Violations,2,2
38.822,-77.018,Release Violations/Fugitive,3,3
38.822,-77.018,Simple Assault,2,2
38.822,-77.013,Release Violations/Fugitive,1,1
38.822,-77.013,Release Violations/Fugitive (Warr),1,1
38.822,-77.01,Aggravated Assault,1,1
38.822,-77.01,Assault on a Police Officer,9,9
38.822,-77.01,Assault with a Dangerous Weapon,3,24
38.822,-77.01,Burglary,1,6
38.822,-77.01,Damage to Property,5,5
38.822,-77.01,Driving/Boating While Intoxicated,3,3
38.822,-77.01,Liquor Law Violations,3,3
38.822,-77.01,Narcotics,9,45
38.822,-77.01,Offenses Against Family & Children,10,10
38.822,-77.01,Other Crimes,40,40
38.822,-77.01,Release Violations,1,1
38.822,-77.01,Release Violations/Fugitive,2,2
38.822,-77.01,Release Violations/Fugitive (Warr),3,3
38.822,-77.01,Sex Offenses,2,20
38.822,-77.01,Simple Assault,63,63
38.822,-77.01,Theft,3,3
38.822,-77.01,Traffic Violations,4,8
38.822,-77.01,Weapon Violations,12,12
38.822,-77.009,Aggravated Assault,1,1
38.822,-77.009,Assault on a Police Officer,1,1
38.822,-77.009,Assault with a Dangerous Weapon,2,16
38.822,-77.009,Other Crimes,2,2
38.822,-77.009,Release Violations/Fugitive,1,1
38.822,-77.009,Release Violations/Fugitive (Warr),2,2
38.822,-77.009,Sex Offenses,1,10
38.822,-77.009,Simple Assault,14,14
38.822,-77.009,Traffic Violations,1,2
38.822,-77.009,Weapon Violations,3,3
38.822,-77.008,Assault on a Police Officer,1,1
38.822,-77.008,Assault with a Dangerous Weapon,1,8
38.822,-77.008,Narcotics,1,5
38.822,-77.008,Offenses Against Family & Children,5,5
38.822,-77.008,Other Crimes,1,1
38.822,-77.008,Release Violations/Fugitive,3,3
38.822,-77.008,Release Violations/Fugitive (Warr),1,1
38.822,-77.008,Simple Assault,33,33
38.822,-77.008,Weapon Violations,5,5
38.822,-77.007,Aggravated Assault,1,1
38.822,-77.007,Assault with a Dangerous Weapon,1,8
38.822,-77.007,Narcotics,1,5
38.822,-77.007,Release Violations,1,1
38.822,-77.007,Release Violations/Fugitive,1,1
38.822,-77.007,Release Violations/Fugitive (Fug),1,1
38.822,-77.007,Simple Assault,10,10
38.822,-77.007,Weapon Violations,2,2
38.822,-77.006,Aggravated Assault,1,1
38.822,-77.006,Burglary,1,6
38.822,-77.006,Damage to Property,3,3
38.822,-77.006,Liquor Law Violations,3,3
38.822,-77.006,Narcotics,1,5
38.822,-77.006,Offenses Against Family & Children,1,1
38.822,-77.006,Other Crimes,2,2
38.822,-77.006,Release Violations,1,1
38.822,-77.006,Release Violations/Fugitive,6,6
38.822,-77.006,Sex Abuse,1,9
38.822,-77.006,Simple Assault,18,18
38.822,-77.005,Simple Assault,1,1
38.822,-77.004,Driving/Boating While Intoxicated,4,4
38.822,-77.004,Narcotics,1,5
38.822,-77.004,Property Crimes,1,1
38.822,-77.004,Theft,1,1
38.822,-77.004,Traffic Violations,26,52
38.822,-77.004,Weapon Violations,1,1
38.822,-77.003,Driving/Boating While Intoxicated,4,4
38.822,-77.003,Liquor Law Violations,1,1
38.822,-77.003,Other Crimes,15,15
38.822,-77.003,Property Crimes,1,1
38.822,-77.003,Release Violations,1,1
38.822,-77.003,Release Violations/Fugitive,1,1
38.822,-77.003,Robbery,2,14
38.822,-77.003,Simple Assault,2,2
38.822,-77.003,Theft,14,14
38.822,-77.003,Traffic Violations,9,18
38.822,-77.002,Assault on a Police Officer,1,1
38.822,-77.002,Driving/Boating While Intoxicated,1,1
38.822,-77.002,Narcotics,5,25
38.822,-77.002,Other Crimes,2,2
38.822,-77.002,Property Crimes,1,1
38.822,-77.002,Release Violations,1,1
38.822,-77.002,Simple Assault,3,3
38.822,-77.002,Traffic Violations,2,4
38.822,-77.001,Aggravated Assault,1,1
38.822,-77.001,Assault on a Police Officer,4,4
38.822,-77.001,Assault with a Dangerous Weapon,5,40
38.822,-77.001,Damage to Property,3,3
38.822,-77.001,Disorderly Conduct,2,2
38.822,-77.001,Driving/Boating While Intoxicated,13,13
38.822,-77.001,Homicide,3,24
38.822,-77.001,Liquor Law Violations,4,4
38.822,-77.001,Motor Vehicle Theft,2,2
38.822,-77.001,Narcotics,64,320
38.822,-77.001,Offenses Against Family & Children,1,1
38.822,-77.001,Other Crimes,9,9
38.822,-77.001,Property Crimes,8,8
38.822,-77.001,Prostitution,1,6
38.822,-77.001,Release Violations/Fugitive,15,15
38.822,-77.001,Release Violations/Fugitive (Warr),5,5
38.822,-77.001,Robbery,3,21
38.822,-77.001,Simple Assault,10,10
38.822,-77.001,Traffic Violations,16,32
38.822,-77.001,Vending Violations,1,1
38.822,-77.001,Weapon Violations,22,22
38.822,-77,Aggravated Assault,1,1
38.822,-77,Damage to Property,1,1
38.822,-77,Driving/Boating While Intoxicated,3,3
38.822,-77,Homicide,1,8
38.822,-77,Narcotics,1,5
38.822,-77,Simple Assault,1,1
38.822,-77,Traffic Violations,4,8
38.822,-77,Weapon Violations,3,3
38.8225,-77.0184,Driving/Boating While Intoxicated,1,1
38.8225,-77.0184,Theft,1,1
38.8225,-77.0184,Traffic Violations,3,6
38.8225,-77.0173,Driving/Boating While Intoxicated,3,3
38.8225,-77.0173,Other Crimes,1,1
38.8225,-77.0173,Property Crimes,2,2
38.8225,-77.0173,Traffic Violations,1,2
38.8225,-77.0161, rcotics,1,1
38.8225,-77.0161,Driving/Boating While Intoxicated,8,8
38.8225,-77.0161,Liquor Law Violations,1,1
38.8225,-77.0161,Release Violations/Fugitive,1,1
38.8225,-77.0161,Simple Assault,2,2
38.8225,-77.0161,Traffic Violations,11,22
38.8225,-77.0104, rcotics,8,8
38.8225,-77.0104,Assault on a Police Officer,8,8
38.8225,-77.0104,Assault with a Dangerous Weapon,4,32
38.8225,-77.0104,Damage to Property,1,1
38.8225,-77.0104,Disorderly Conduct,1,1
38.8225,-77.0104,Driving/Boating While Intoxicated,5,5
38.8225,-77.0104,Liquor Law Violations,1,1
38.8225,-77.0104,Offenses Against Family & Children,1,1
38.8225,-77.0104,Other Crimes,17,17
38.8225,-77.0104,Property Crimes,1,1
38.8225,-77.0104,Release Violations/Fugitive,14,14
38.8225,-77.0104,Robbery,2,14
38.8225,-77.0104,Sex Abuse,1,9
38.8225,-77.0104,Sex Offenses,1,10
38.8225,-77.0104,Simple Assault,37,37
38.8225,-77.0104,Theft,3,3
38.8225,-77.0104,Traffic Violations,3,6
38.8225,-77.0104,Weapon Violations,3,3
38.8225,-77.0092, rcotics,3,3
38.8225,-77.0092,Assault with a Dangerous Weapon,1,8
38.8225,-77.0092,Sex Offenses,1,10
38.8225,-77.0092,Simple Assault,4,4
38.8225,-77.0081, rcotics,3,3
38.8225,-77.0081,Assault on a Police Officer,1,1
38.8225,-77.0081,Assault with a Dangerous Weapon,1,8
38.8225,-77.0081,Damage to Property,1,1
38.8225,-77.0081,Driving/Boating While Intoxicated,1,1
38.8225,-77.0081,Other Crimes,1,1
38.8225,-77.0081,Simple Assault,13,13
38.8225,-77.0081,Weapon Violations,1,1
38.8225,-77.0069, rcotics,2,2
38.8225,-77.0069,Assault on a Police Officer,2,2
38.8225,-77.0069,Assault with a Dangerous Weapon,4,32
38.8225,-77.0069,Damage to Property,3,3
38.8225,-77.0069,Offenses Against Family & Children,1,1
38.8225,-77.0069,Other Crimes,1,1
38.8225,-77.0069,Release Violations/Fugitive,7,7
38.8225,-77.0069,Robbery,1,7
38.8225,-77.0069,Simple Assault,12,12
38.8225,-77.0069,Theft,1,1
38.8225,-77.0069,Weapon Violations,1,1
38.8225,-77.0058, rcotics,4,4
38.8225,-77.0058,Driving/Boating While Intoxicated,1,1
38.8225,-77.0058,Other Crimes,1,1
38.8225,-77.0058,Release Violations/Fugitive,1,1
38.8225,-77.0058,Robbery,1,7
38.8225,-77.0058,Simple Assault,6,6
38.8225,-77.0058,Traffic Violations,1,2
38.8225,-77.0058,Weapon Violations,1,1
38.8225,-77.0035,Robbery,1,7
38.8225,-77.0023, rcotics,1,1
38.8225,-77.0012, rcotics,6,6
38.8225,-77.0012,Assault with a Dangerous Weapon,3,24
38.8225,-77.0012,Burglary,1,6
38.8225,-77.0012,Damage to Property,2,2
38.8225,-77.0012,Disorderly Conduct,1,1
38.8225,-77.0012,Kid pping,1,1
38.8225,-77.0012,Liquor Law Violations,5,5
38.8225,-77.0012,Other Crimes,2,2
38.8225,-77.0012,Property Crimes,1,1
38.8225,-77.0012,Release Violations/Fugitive,5,5
38.8225,-77.0012,Robbery,1,7
38.8225,-77.0012,Simple Assault,13,13
38.8225,-77.0012,Weapon Violations,3,3
38.8225,-77, rcotics,3,3
38.8225,-77,Aggravated Assault,2,2
38.8225,-77,Assault on a Police Officer,1,1
38.8225,-77,Driving/Boating While Intoxicated,5,5
38.8225,-77,Liquor Law Violations,5,5
38.8225,-77,Release Violations/Fugitive,2,2
38.8225,-77,Simple Assault,4,4
38.8225,-77,Traffic Violations,2,4
38.8225,-77,Weapon Violations,1,1
38.8225,-76.9988,Assault with a Dangerous Weapon,1,8
38.8225,-76.9988,Damage to Property,1,1
38.8225,-76.9988,Liquor Law Violations,3,3
38.8225,-76.9988,Release Violations/Fugitive,1,1
38.823,-77.017,Damage to Property,1,1
38.823,-77.017,Driving/Boating While Intoxicated,17,17
38.823,-77.017,Liquor Law Violations,4,4
38.823,-77.017,Property Crimes,3,3
38.823,-77.017,Release Violations/Fugitive,2,2
38.823,-77.017,Release Violations/Fugitive (Warr),4,4
38.823,-77.017,Simple Assault,2,2
38.823,-77.017,Traffic Violations,20,40
38.823,-77.017,Weapon Violations,2,2
38.823,-77.009,Assault on a Police Officer,1,1
38.823,-77.009,Assault with a Dangerous Weapon,2,16
38.823,-77.009,Damage to Property,1,1
38.823,-77.009,Narcotics,2,10
38.823,-77.009,Other Crimes,3,3
38.823,-77.009,Simple Assault,16,16
38.823,-77.009,Traffic Violations,1,2
38.823,-77.009,Weapon Violations,5,5
38.823,-77.008,Assault on a Police Officer,1,1
38.823,-77.008,Narcotics,2,10
38.823,-77.008,Other Crimes,2,2
38.823,-77.008,Sex Abuse,1,9
38.823,-77.008,Simple Assault,14,14
38.823,-77.008,Theft,1,1
38.823,-77.008,Weapon Violations,3,3
38.823,-77.007,Assault on a Police Officer,2,2
38.823,-77.007,Assault with a Dangerous Weapon,1,8
38.823,-77.007,Damage to Property,3,3
38.823,-77.007,Driving/Boating While Intoxicated,1,1
38.823,-77.007,Homicide,1,8
38.823,-77.007,Offenses Against Family & Children,2,2
38.823,-77.007,Other Crimes,5,5
38.823,-77.007,Simple Assault,31,31
38.823,-77.007,Theft,1,1
38.823,-77.007,Traffic Violations,1,2
38.823,-77.007,Weapon Violations,3,3
38.823,-77.006,Assault on a Police Officer,1,1
38.823,-77.006,Assault with a Dangerous Weapon,1,8
38.823,-77.006,Damage to Property,4,4
38.823,-77.006,Other Crimes,1,1
38.823,-77.006,Property Crimes,1,1
38.823,-77.006,Release Violations,1,1
38.823,-77.006,Release Violations/Fugitive,1,1
38.823,-77.006,Release Violations/Fugitive (Warr),1,1
38.823,-77.006,Sex Abuse,1,9
38.823,-77.006,Simple Assault,23,23
38.823,-77.006,Traffic Violations,2,4
38.823,-77.006,Weapon Violations,3,3
38.823,-77.002,Aggravated Assault,1,1
38.823,-77.002,Assault on a Police Officer,1,1
38.823,-77.002,Assault with a Dangerous Weapon,1,8
38.823,-77.002,Disorderly Conduct,4,4
38.823,-77.002,Driving/Boating While Intoxicated,2,2
38.823,-77.002,Liquor Law Violations,1,1
38.823,-77.002,Narcotics,13,65
38.823,-77.002,Other Crimes,2,2
38.823,-77.002,Release Violations/Fugitive,2,2
38.823,-77.002,Release Violations/Fugitive (Warr),1,1
38.823,-77.002,Simple Assault,7,7
38.823,-77.002,Theft,2,2
38.823,-77.002,Traffic Violations,4,8
38.823,-77.002,Weapon Violations,9,9
38.823,-77.001,Aggravated Assault,4,4
38.823,-77.001,Assault with a Dangerous Weapon,1,8
38.823,-77.001,Burglary,1,6
38.823,-77.001,Damage to Property,2,2
38.823,-77.001,Kidnapping,1,9
38.823,-77.001,Narcotics,5,25
38.823,-77.001,Other Crimes,1,1
38.823,-77.001,Simple Assault,34,34
38.823,-77.001,Theft,2,2
38.823,-77.001,Weapon Violations,6,6
38.823,-77,Aggravated Assault,1,1
38.823,-77,Damage to Property,1,1
38.823,-77,Driving/Boating While Intoxicated,1,1
38.823,-77,Narcotics,1,5
38.823,-77,Release Violations,2,2
38.823,-77,Release Violations/Fugitive,1,1
38.823,-77,Simple Assault,10,10
38.823,-77,Traffic Violations,1,2
38.823,-77,Weapon Violations,1,1
38.823,-76.999,Assault on a Police Officer,1,1
